"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,3763.9
"2","MIDEA","KFR-26GW/Y",0.93,0.9,1361.1
"3","MIDEA","KFR-70GW/Y",3.03,2.9,4412.1
"4","MIDEA","KFR-26GW/Y",0.93,0.89,1354.14
"6","HYUNDAI","WSH-188BA",1.9,1.88,2809.48
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,3662.52
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,2338.66
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,3057.96
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,2979.52
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,3414.8
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,1482.24
"14","CHUNLAN","KFR-32GW",1.2,1.22,1797.12
"16","CHUNLAN","KFR-27GW",1.12,1.14,1678.24
"18","CHUNLAN","KFR-50GW",1.9,2,2893
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,2964.1
"20","CHUNLAN","KFR-35GW",1.28,1.33,1936.88
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,2696.06
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,3221.42
"24","SPLENDID","11-0HP",1.35,1.35,2006.1
"25","CHUNLAN","KFR-70GW",2.75,2.75,4086.5
"26","CHUNLAN","STARWAY",2.75,2.75,4086.5
"28","NEC","RH129",1.35,1.15,1866.9
"29","LG","LWC1262AHG",1.35,1.15,1866.9
"30","CHUNLAN","KFR-22GW",0.85,0.88,1283.98
"31","LG","LWC122RH-1",1.35,1.15,1866.9
"32","SHARP","AY-A249J/AE-A249J",3,3.05,4492.8
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,3291.96
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,1421.48
"36","CHUNLAN","KFR-60GW",2.48,2.35,3594.8
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,2595.8
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1093.62
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,1441.42
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,1991.8
"46","EMAILAIR","MAY90RCE",1.01,0.93,1445.18
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,1445.18
"48","KIA","KSH-098BA",0.87,0.88,1299.78
"49","HISENSE","KFR-25GWE",1.04,1.33,1747.28
"50","LG","LWC0960AHG",1,0.92,1430.32
"51","LG","LSL1260NL",1.33,1.83,2324.38
"52","LG","LS-K2463HL",2.73,2.69,4028.94
"53","LG","LV-B2461HL",2.8,2.69,4084.24
"55","AIRTEMP","HAY212N6G",1.41,1.38,2074.38
"59","LG","LWC1260PHG",1.33,1.19,1878.94
"60","HYUNDAI","WSH-229BA",2.57,2.54,3798.14
"61","LG","LS-K2464HL",2.73,2.69,4028.94
"62","ELECTRA","WMN24RCB",2.45,2.45,3640.7
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,3640.7
"67","ADSAKA","KFR-60GW",2.48,2.35,3594.8
"68","EMAILAIR","WS/CWS026HA",1,0.99,1479.04
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,1479.04
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,1913.18
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,1913.18
"72","AIRWELL","SX18RC",2.3,2.13,3299.48
"73","ADSAKA","KFR-50GW",1.9,2,2893
"74","AIRWELL","SX24RC",2.71,2.49,3873.94
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,1467
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,3856.64
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,3003.6
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,4021.6
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,3245.12
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,4103.8
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,2986.86
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,1342.48
"93","MIDEA","KFR-53GW/Y",2,1.92,2916.32
"94","MIDEA","KFR-36GWY",1.5,1.65,2333.4
"99","AIRTEMP","HAY318N6G",2.08,2.09,3097.84
"100","AIRTEMP","HAY109N6G",1.07,1.07,1590.02
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,2965.6
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,1381.98
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,3165.36
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,4021.6
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,4028.94
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,1109.42
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,2755.12
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,2444.56
"117","MITSUBISHI ELECTRIC","MSZ-G12SV/MUZ-G12SV",1.36,1.63,2208.88
"119","HOTPOINT","HPS 125R",1.1,1.07,1613.72
"120","FUJITSU GENERAL","AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A",2.61,2.7,3941.1
"122","MITSUBISHI ELECTRIC","MSH-12RV/MUH-12RV",1.32,1.4,2017.2
"124","MITSUBISHI ELECTRIC","MSH-09RV/MUH-09RV",0.95,0.97,1425.62
"125","AIRTEMP","HAY107N6G",0.82,0.82,1218.52
"127","MITSUBISHI ELECTRIC","MWH-08MV",1.02,0.87,1411.32
"128","MHI","SRT403HENF-L",1.38,1.39,2057.64
"132","CARRIER","53G150H",1.32,1.35,1982.4
"137","CARRIER","53G225H",1.88,1.8,2738
"138","CARRIER","53G100H",0.96,0.96,1426.56
"141","HEC","HSU-09HEO4",1.02,1.16,1613.16
"142","MHI","SRK561HENF-A",2.18,2.18,3239.48
"143","MHI","SRK388HENF-A",1.32,1.33,1968.48
"144","MHI","SRK408HENF-A",1.51,1.54,2264.74
"145","MHI","SRK288HENF-A",1.07,0.91,1478.66
"146","MHI","SRK458HENF-A",1.7,1.84,2623.64
"147","MHI","FDKN208H",1.8,1.82,2688.72
"148","MHI","FDKN308H",3.08,2.83,4402.88
"150","MHI","SRK502Z-L",2.22,2.5,3493.8
