Postcode,Longtitude,Latitude
830,131,-12.5
831,131,-12.5
832,131,-12.5
835,131,-12.5
836,131.1,-12.6
837,131,-12.7
838,131,-12.7
840,130.4,-12.7
845,131,-13
846,131.1,-13.2
880,136,-12.3
881,136.8,-12.2
885,136.5,-13.7
6710,115.4,-22.1
6711,115,-21.5
6712,115.4,-20.8
6713,116.7,-20.7
6714,116.3,-21.1
6718,117.7,-21
6720,117.1,-20.7
6721,118.4,-20.7
6722,118.6,-20.4
6723,119.7,-20.2
4702,143.8,-25.1
4721,147.2,-22.4
4725,145.4,-23.6
4726,145.5,-22.5
4727,144.6,-23.5
4728,146.1,-23.6
4730,143.4,-23.8
4731,144.3,-24.5
4732,144.6,-22.4
4733,143.5,-21.8
4735,141.9,-22.8
6537,113.9,-25.8
6701,115.2,-24.7
4380,151.7,-28.7
4804,147.5,-20.9
4805,148,-20.2
4806,147.4,-19.9
4807,147.1,-19.9
4808,147.3,-19.5
4809,147.1,-19.5
4810,146.8,-19.2
4811,146.8,-19.3
4812,146.8,-19.3
4813,146.8,-19.3
4814,146.8,-19.3
4815,146.7,-19.4
4816,142.6,-20
4817,146.7,-19.3
4818,146.5,-19.2
4819,146.8,-19.1
870,133.9,-23.7
871,133.9,-23.7
872,131,-25.3
4697,150.8,-23.7
4699,150.6,-23.7
4700,150.5,-23.4
4701,150.6,-23.4
4703,150.7,-23
4704,150.4,-23.1
4705,149.7,-22.8
4710,150.8,-23.3
4711,150.5,-23.3
4712,149.7,-23.7
4713,149.4,-24.1
4714,150.4,-23.7
4742,148.6,-21.8
4744,148,-22
4745,148.3,-22.5
4746,148.9,-22.9
4751,149,-21.2
2386,148.9,-30.1
2387,148.8,-29.8
2388,149,-30.4
2390,149.8,-30.4
2397,149.7,-29.9
2398,149.8,-29.7
2399,150.2,-29.4
2400,149.5,-29.5
2401,150.3,-29.6
2402,150.5,-29.4
2405,149.6,-28.9
2406,148.9,-29.1
2408,150.4,-29
2409,150.2,-28.7
2410,150.7,-28.9
2411,150.3,-29.1
2832,148,-30
2833,148.4,-29.4
2834,148,-29.4
2469,152.7,-28.9
2470,152.7,-28.9
2471,153.2,-29
2474,152.9,-28.5
2480,153.3,-28.7
4124,153,-27.7
4132,153.1,-27.7
4133,153.1,-27.7
4270,153.1,-27.9
4275,153.1,-28.1
4280,153,-27.8
4285,153,-28.1
4287,152.8,-28.3
4300,152.9,-27.7
4301,152.9,-27.6
4303,152.8,-27.6
4304,152.8,-27.6
4305,152.8,-27.6
4306,152.3,-26.8
4307,152.6,-27.9
4309,152.5,-28
4310,152.6,-28.1
4311,152.4,-27.4
4312,152.5,-27.3
4313,152.3,-27.1
4340,152.5,-27.8
4341,152.4,-27.7
4342,152.4,-27.5
4343,152.2,-27.7
4345,152.3,-27.5
4346,152.6,-27.6
4370,152.1,-28.3
4371,152.2,-28.2
4372,152.2,-28.3
4378,151.9,-28.6
4500,152.9,-27.3
4501,152.9,-27.3
4502,153,-27.3
4503,153,-27.2
4504,152.9,-27.2
4505,153,-27.2
4506,152.9,-27.1
4507,153.1,-27
4508,153,-27.2
4509,153,-27.2
4510,153,-27.1
4511,153.1,-27.1
4512,152.9,-27
4514,152.8,-26.9
4515,152.5,-26.9
4516,153,-27
4517,153,-27
4518,153,-26.9
4519,152.9,-26.8
4520,152.8,-27.3
4521,152.8,-27.2
4550,153,-26.8
4570,152.6,-26.2
4571,152.9,-26.2
4600,152.2,-26.1
